id,symbol,name,priceUSD
bitcoin,BTC,Bitcoin,41715.7186
ethereum,ETH,Ethereum,2477.524268
tether,USDT,Tether,1.000991881
binance-coin,BNB,BNB,317.8437421
solana,SOL,Solana,92.51160202
usd-coin,USDC,USDC,1.001470975
xrp,XRP,XRP,0.553076872
cardano,ADA,Cardano,0.516193176
dogecoin,DOGE,Dogecoin,0.085940914
avalanche,AVAX,Avalanche,33.13033906
tron,TRX,TRON,0.111026958
polkadot,DOT,Polkadot,6.910434969
chainlink,LINK,Chainlink,15.64345068
polygon,MATIC,Polygon,0.793130778
wrapped-bitcoin,WBTC,Wrapped Bitcoin,41671.44285
shiba-inu,SHIB,Shiba Inu,9.50825E-06
multi-collateral-dai,DAI,Multi Collateral DAI,0.999678481
litecoin,LTC,Litecoin,71.48311253
internet-computer,ICP,Internet Computer,11.3472578
bitcoin-cash,BCH,Bitcoin Cash,240.6817487
uniswap,UNI,Uniswap,6.468200787
unus-sed-leo,LEO,UNUS SED LEO,4.031752576
ethereum-classic,ETC,Ethereum Classic,24.67285621
stellar,XLM,Stellar,0.116134217
near-protocol,NEAR,NEAR Protocol,2.988364425
monero,XMR,Monero,161.9791674
filecoin,FIL,Filecoin,5.516171069
injective-protocol,INJ,Injective,36.24179538
lido-dao,LDO,Lido DAO,2.919769413
cosmos,ATOM,Cosmos,9.881983392
bitcoin-bep2,BTCB,Bitcoin BEP2,42795.2087
stacks,STX,Stacks,1.474030436
crypto-com-coin,CRO,Crypto.com Coin,0.083591454
vechain,VET,VeChain,0.028559872
trueusd,TUSD,TrueUSD,0.989189351
maker,MKR,Maker,1989.943859
the-graph,GRT,The Graph,0.161600567
render-token,RNDR,Render Token,3.994235739
bitcoin-sv,BSV,Bitcoin SV,74.31301635
aave,AAVE,Aave,97.5072804
thorchain,RUNE,THORChain,4.19055708
quant,QNT,Quant,115.1763886
algorand,ALGO,Algorand,0.172325966
elrond-egld,EGLD,MultiversX,52.41717836
mina,MINA,Mina,1.157100232
flow,FLOW,Flow,0.79269411
hedera-hashgraph,HBAR,Hedera Hashgraph,0.076734525
axie-infinity,AXS,Axie Infinity,7.86241538
theta,THETA,THETA,1.04648942
helium,HNT,Helium,6.511036603
fantom,FTM,Fantom,0.371980936
the-sandbox,SAND,The Sandbox,0.491347136
tezos,XTZ,Tezos,1.037353647
kucoin-token,KCS,KuCoin Token,9.986694777
wemix,WEMIX,WEMIX,2.638077145
chiliz,CHZ,Chiliz,0.102159459
decentraland,MANA,Decentraland,0.477853242
ftx-token,FTT,FTX Token,2.733251792
neo,NEO,Neo,11.86187929
eos,EOS,EOS,0.729805899
kava,KAVA,Kava,0.730935122
synthetix-network-token,SNX,Synthetix,3.309798596
wootrade,WOO,WOO,0.400506132
siacoin,SC,Siacoin,0.01289792
iota,IOTA,IOTA,0.227606521
frax-share,FXS,Frax Share,9.235502032
klaytn,KLAY,Klaytn,0.201108936
conflux-network,CFX,Conflux,0.189668291
oasis-network,ROSE,Oasis Network,0.10297969
pancakeswap,CAKE,PancakeSwap,2.747903536
gala,GALA,Gala,0.024034175
ecash,XEC,eCash,3.24774E-05
arweave,AR,Arweave,9.589913796
xinfin-network,XDC,XinFin Network,0.047562389
curve-dao-token,CRV,Curve DAO Token,0.52944885
gnosis-gno,GNO,Gnosis,211.2147873
akash-network,AKT,Akash Network,2.385997975
pendle,PENDLE,Pendle,2.223679632
dydx,DYDX,dYdX,2.807713762
fetch,FET,Fetch.ai,0.614086436
casper,CSPR,Casper,0.043152853
1inch,1INCH,1inch Network,0.422098052
nexo,NEXO,Nexo,0.84220167
gatetoken,GT,GateToken,4.736080891
trust-wallet-token,TWT,Trust Wallet Token,1.123724699
compound,COMP,Compound,56.45614462
gas,GAS,Gas,6.470718673
nem,XEM,NEM,0.046410273
enjin-coin,ENJ,Enjin Coin,0.297570563
aelf,ELF,aelf,0.561896379
iotex,IOTX,IoTeX,0.042114712
skale-network,SKL,SKALE,0.075857047
zcash,ZEC,Zcash,23.58795705
zilliqa,ZIL,Zilliqa,0.021789168
uma,UMA,UMA,4.952830222
paxos-standard,USDP,Pax Dollar,1.001792531
celo,CELO,Celo,0.690768433
singularitynet,AGIX,SingularityNET,0.282932433
mask-network,MASK,Mask Network,3.653121314
nxm,NXM,NXM,53.05480463
